country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,acceso_elec
Cameroon,23337000.0,66.47200000000001,33.528,66.47200000000001,0.0,103.06644444444444,301.95955555555554,64.72137
Canada,36005555.55555555,81.0555,18.944499999999998,66.18379999999999,14.8717,3324.2392999999997,17523.4622,100.0
Cayman Islands,61666.666666666664,0.8367777777777778,99.16322222222223,0.8367777777777778,0.0,10142.47,10230.422444444444,15.465084
Central African Republic,4533888.888888889,96.28844444444445,3.711555555555556,96.28844444444445,0.0,1.4253333333333333,35.50244444444444,11.080117
Chad,14127222.222222222,1.8128888888888888,98.18711111111111,1.8128888888888888,0.0,15.08311111111111,15.354333333333333,100.0
Chile,18032666.666666668,43.7029,56.2971,43.7029,0.0,2255.4612,4013.3495000000003,100.0
China,1406154666.6666667,27.152300000000004,72.8477,23.9109,3.2415,3110.0034,4308.0039,100.0
Colombia,47756444.44444445,73.7897,26.2103,73.7897,0.0,394.9527,1493.8169,86.73714
Comoros,778000.0,3.307,96.69300000000001,3.307,0.0,87.19066666666667,89.75455555555556,49.5171
Cook Islands,18000.0,11.258777777777778,88.74122222222223,11.258777777777778,0.0,1641.9753333333333,1876.6544444444444,99.9
Costa Rica,4844666.666666667,95.7824,4.2176,95.7824,0.0,89.944,2195.9947,100.0
Croatia,4228111.111111111,63.301,36.699,63.301,0.0,1059.4664,2935.9398,100.0
Cuba,11306000.0,4.011333333333334,95.98866666666667,4.011333333333334,0.0,1580.2584444444446,1646.3255555555556,100.0
Cyprus,1161666.6666666667,8.0901,91.90990000000001,8.0901,0.0,3855.8008,4198.1936000000005,19.1
Czechia,10615777.777777778,44.833600000000004,55.166399999999996,10.719100000000001,34.1146,4402.0799,7977.1053,100.0
Democratic Republic of Congo,76466000.0,99.79077777777778,0.20922222222222223,99.79077777777778,0.0,0.24422222222222223,117.54644444444446,61.767082
Denmark,5683555.555555556,60.8865,39.1135,60.8865,0.0,2193.4209,5493.0187,100.0
Djibouti,913777.7777777778,0.8294444444444444,99.17055555555555,0.8294444444444444,0.0,203.06977777777777,203.6677777777778,100.0
Dominica,71222.22222222222,32.31388888888889,67.6861111111111,32.31388888888889,0.0,891.2362222222223,1311.9563333333333,98.85
Dominican Republic,10279555.555555556,12.155444444444445,87.84455555555556,12.155444444444445,0.0,1454.9745555555555,1657.3343333333332,100.0
Ecuador,16258111.111111112,61.819111111111106,38.18088888888889,61.819111111111106,0.0,577.5028888888888,1545.6397777777777,100.0
Egypt,92436222.22222222,9.922333333333334,90.07766666666666,9.922333333333334,0.0,1576.6162222222222,1749.7901111111112,66.74773
El Salvador,6328222.222222222,64.00677777777778,35.99322222222222,64.00677777777778,0.0,320.15766666666667,878.0428888888889,52.171097
Equatorial Guinea,1169666.6666666667,27.402666666666665,72.59733333333332,27.402666666666665,0.0,788.5406666666667,1104.2864444444444,100.0
Eritrea,3348777.777777778,3.6149999999999998,96.385,3.6149999999999998,0.0,104.41333333333334,109.06377777777777,51.093983
Estonia,1320666.6666666667,15.9803,84.0197,15.9803,0.0,7305.530500000001,8546.85,100.0
Ethiopia,100943111.1111111,99.89044444444444,0.10955555555555556,99.89044444444444,0.0,0.0908888888888889,104.36488888888888,100.0
Fiji,872333.3333333334,58.81944444444444,41.18055555555556,58.81944444444444,0.0,454.17322222222225,1098.4084444444443,100.0
Finland,5472222.222222222,76.27090000000001,23.7291,42.660000000000004,33.6109,3015.9975,12615.6487,91.57156
France,64328777.777777776,90.6893,9.3107,17.3772,73.312,813.8097,8749.0023,62.273067
French Guiana,262666.6666666667,60.39433333333333,39.60566666666667,60.39433333333333,0.0,1485.4677777777777,3751.233333333333,100.0
French Polynesia,273333.3333333333,34.49444444444444,65.50555555555555,34.49444444444444,0.0,1442.7215555555556,2201.8251111111113,100.0
Gabon,1938777.7777777778,43.041777777777774,56.958222222222226,43.041777777777774,0.0,616.866,1083.8504444444445,85.87355
Gambia,2090888.888888889,1.1335555555555556,98.86644444444444,1.1335555555555556,0.0,133.06900000000002,134.59066666666666,100.0
Georgia,4030777.777777778,79.99588888888889,20.00411111111111,79.99588888888889,0.0,529.1167777777778,2655.2137777777775,100.0
Germany,81970333.33333333,44.5755,55.4245,30.6145,13.9612,4218.0317,7584.9571,100.0
Ghana,27872555.555555556,58.945,41.055,58.945,0.0,167.55511111111113,413.4881111111111,93.58645
Greece,10654555.555555556,25.8654,74.1346,25.8654,0.0,3782.6511,5080.4956,100.0
Greenland,56333.333333333336,80.626,19.374,80.626,0.0,1637.1254444444446,8479.479111111112,97.05527
Grenada,109444.44444444444,1.6578888888888887,98.34211111111111,1.6578888888888887,0.0,1839.9113333333335,1870.96,44.66868
Guadeloupe,401555.55555555556,12.929555555555556,87.07044444444445,12.929555555555556,0.0,3559.6673333333333,4088.397222222222,33.33547
Guam,162555.55555555556,1.9225555555555556,98.07744444444444,1.9225555555555556,0.0,10264.086000000001,10465.374333333333,92.54054
Guatemala,16257555.555555556,64.89644444444444,35.10355555555556,64.89644444444444,0.0,246.37955555555558,699.087,46.925533
Guinea,11504333.333333334,52.902,47.098,52.902,0.0,66.3338888888889,128.62011111111113,93.20671
Guinea-Bissau,1738888.888888889,2.052777777777778,97.94722222222222,2.052777777777778,0.0,20.218333333333334,20.659333333333333,100.0
