,country,low_carbon_share_elec,population,per_capita_electricity
138,Nicaragua,52.80433333333333,6223888.888888889,682.2217777777778
139,Niger,1.463,20089000.0,23.062555555555555
140,Nigeria,20.411099999999998,181445996.44444445,170.6504
141,Niue,0.0,2000.0,1500.0
142,North Korea,76.99288888888888,25177777.777777776,655.8844444444444
143,North Macedonia,26.866333333333333,2078666.6666666667,2824.8288888888887
145,Norway,98.111,5183000.0,26928.8234
146,Oman,0.0074444444444444445,4195222.222222222,6982.072777777777
147,Pakistan,38.1531,199660332.44444445,579.9738
148,Palestine,0.03777777777777778,4545666.666666667,94.6481111111111
149,Panama,66.893,3972000.0,2434.230555555556
150,Papua New Guinea,27.236333333333334,8115333.333333333,459.2343333333334
151,Paraguay,99.99611111111112,6689000.0,8647.857555555554
152,Peru,57.7494,30663888.888888888,1520.7907
153,Philippines,25.849,101987333.33333333,804.1582000000001
154,Poland,12.7917,38061000.0,4302.6687
155,Portugal,51.2143,10383444.444444444,5119.3602
156,Puerto Rico,4.257222222222222,3317444.4444444445,5981.054
157,Qatar,0.3211111111111111,2509666.6666666665,15217.057999999999
158,Romania,55.973299999999995,19886555.555555556,3123.5714
159,Russia,35.581399999999995,144898110.2222222,7052.3774
160,Rwanda,48.70088888888889,11409666.666666666,47.77788888888889
161,Saint Helena,0.0,5777.777777777777,1402.469111111111
162,Saint Kitts and Nevis,3.7568888888888887,51111.11111111111,3939.4604444444444
163,Saint Lucia,0.31066666666666665,179333.33333333334,2049.849888888889
164,Saint Pierre and Miquelon,1.4925555555555556,6000.0,7660.49388888889
165,Saint Vincent and the Grenadines,15.373555555555555,109222.22222222222,1265.2025555555556
166,Samoa,30.846555555555558,192888.88888888888,635.3448888888888
167,Sao Tome and Principe,8.924333333333333,199555.55555555556,375.6591111111111
168,Saudi Arabia,0.02722222222222222,31514000.0,10048.505777777777
169,Senegal,11.075222222222223,14614888.888888888,262.38222222222225
170,Serbia,28.7959,8873000.0,4096.7842
171,Seychelles,1.0203333333333333,94888.88888888889,4372.333111111111
172,Sierra Leone,68.674,7178777.777777778,28.39288888888889
173,Singapore,3.1572,5569888.888888889,8495.860400000001
174,Slovakia,78.1533,5434555.555555556,5073.1888
175,Slovenia,67.6322,2068555.5555555555,7762.003599999999
176,Solomon Islands,5.444222222222222,604111.1111111111,158.63822222222223
177,Somalia,2.6202222222222225,13844666.666666666,24.311444444444444
178,South Africa,8.6036,55335888.88888889,4246.097400000001
179,South Korea,30.937400000000004,50677777.777777776,10310.2702
180,South Sudan,0.486375,10594777.777777778,40.393
181,Spain,57.3116,46804333.333333336,5918.8524
182,Sri Lanka,42.333222222222226,20888111.111111112,626.4334444444444
183,Sudan,68.51866666666666,38974777.777777776,322.1691111111111
184,Suriname,44.77577777777778,558666.6666666666,3406.3565555555556
185,Sweden,97.6304,9759333.333333334,16394.5112
186,Switzerland,98.8813,8275555.555555556,7826.6629
187,Syria,7.188999999999999,18487111.111111112,1195.311777777778
188,Taiwan,18.5083,23542222.222222224,10471.4403
189,Tajikistan,96.8246,8478444.444444444,2066.4397
190,Tanzania,35.84166666666667,51631222.222222224,121.03822222222223
191,Thailand,12.583499999999999,68654222.22222222,2434.5672
193,Togo,39.50544444444445,7329444.444444444,40.815
194,Tonga,0.0,102333.33333333333,500.497
195,Trinidad and Tobago,0.05122222222222222,1368222.2222222222,6537.649
196,Tunisia,2.9312,11198000.0,1614.7745
197,Turkey,32.464999999999996,78499000.0,3253.3111
198,Turkmenistan,0.01411111111111111,5561333.333333333,3502.783111111111
199,Turks and Caicos Islands,0.0,35888.88888888889,5810.810222222222
200,Uganda,89.3971111111111,38520333.333333336,90.967
201,Ukraine,57.1829,44870777.777777776,3578.1654000000003
202,United Arab Emirates,0.642888888888889,9334888.888888888,12261.303555555556
203,United Kingdom,44.0847,65834555.55555555,5114.4522
204,United States,34.6743,320649109.3333333,12742.903
205,United States Virgin Islands,1.0106666666666666,105222.22222222222,6420.879333333334
206,Uruguay,89.6651,3413444.4444444445,3825.6515
207,Uzbekistan,11.749444444444444,30952777.777777776,1769.5257777777779
208,Vanuatu,14.765777777777778,271222.22222222225,237.7148888888889
209,Venezuela,63.62844444444444,29423444.444444444,3638.922222222222
210,Vietnam,39.2149,92674000.0,1853.5089
212,Yemen,4.773555555555556,26490333.333333332,207.31133333333332
213,Zambia,93.67966666666666,15902666.666666666,861.2901111111111
214,Zimbabwe,55.943000000000005,13790222.222222222,634.529
