,country,gdp,coal_electricity,hydro_electricity,solar_electricity,other_renewable_electricity
0,Afghanistan,42.536415713882356,0.0,0.7288,0.01365,0.0
1,Albania,24.86545667011765,0.0,5.176399999999999,0.00155,0.0
2,Algeria,398.6470588235294,0.0,0.23795000000000002,0.09675,0.0
3,Angola,81.781630464,0.0,3.8710499999999994,0.00785,0.0443
4,Argentina,686.2941176470588,2.0188571428571427,31.416380952380955,0.11133333333333334,1.3784285714285713
5,Armenia,19.723499098352942,0.0,1.9888,0.0018499999999999999,0.0
6,Australia,894.7647058823529,159.53619047619048,15.305238095238094,3.547952380952381,2.9773809523809525
7,Austria,335.5882352941176,4.689095238095239,38.97985714285714,0.4554761904761905,3.6812857142857145
8,Azerbaijan,87.53623937505883,0.0,2.049857142857143,0.009904761904761904,0.06219047619047619
9,Bahrain,39.530458051764704,0.0,0.0,0.0025,0.0
10,Bangladesh,325.52941176470586,1.0864761904761906,0.9218571428571428,0.1130952380952381,0.0011904761904761906
11,Barbados,4.180987783529411,0.0,0.0,0.00865,0.0
12,Belarus,136.25901116235292,0.0,0.11461904761904762,0.03166666666666667,0.11285714285714286
13,Belgium,394.8235294117647,4.900047619047619,0.33271428571428574,1.4987142857142857,3.5090476190476187
14,Benin,16.099829639529414,0.0,0.0014,0.00125,0.0008500000000000001
15,Bolivia,43.33288291388235,0.0,2.280857142857143,0.028857142857142856,0.1118095238095238
16,Bosnia and Herzegovina,31.600433031529413,8.527714285714286,5.429285714285714,0.006,0.0017619047619047618
17,Botswana,23.696176730352942,1.28345,0.0,0.0014500000000000001,0.0
18,Brazil,2234.705882352941,15.657809523809524,358.7835238095238,0.8912380952380953,30.63252380952381
19,Bulgaria,99.83525309741177,20.096666666666664,3.487,0.576095238095238,0.28400000000000003
20,Burkina Faso,21.158755207529413,0.0,0.10415,0.01045,0.0002
21,Burundi,7.2647528207058825,0.0,0.12905,0.0023,0.0031
22,Cambodia,31.822830953411767,0.6841,0.9913000000000001,0.0036000000000000003,0.0229
23,Cameroon,48.69071185317647,0.0,4.1185,0.0048000000000000004,0.06915
24,Canada,1366.4705882352941,76.07809523809524,365.2105714285714,1.3515714285714284,10.033761904761905
25,Central African Republic,3.7733864357647056,0.0,0.13269999999999998,0.0,0.0
26,Chad,16.88390634917647,0.0,0.0,0.0,0.0
27,Chile,274.94117647058823,14.573,22.32133333333333,1.280142857142857,3.6990000000000003
28,China,10811.764705882353,3002.332571428571,731.458619047619,43.92485714285714,35.229285714285716
29,Colombia,421.6470588235294,4.582380952380952,44.643,0.023047619047619046,1.0584761904761906
30,Comoros,1.0467950531764705,0.0,0.0031,0.0,0.0
31,Congo,15.98855424,0.0,0.67065,0.00025,0.0
32,Costa Rica,50.14644639623529,0.0,7.007380952380952,0.01080952380952381,1.3515714285714284
33,Croatia,80.56302941364707,2.0753809523809523,6.591714285714285,0.023,0.20433333333333334
34,Cuba,69.659679744,0.0,0.10469999999999999,0.022549999999999997,0.612
35,Cyprus,24.43448874164706,0.0,0.0,0.05828571428571429,0.028666666666666667
36,Czechia,261.6470588235294,45.66471428571428,2.0845238095238097,1.077095238095238,2.6014761904761903
37,Democratic Republic of Congo,41.8202551717647,0.0,7.85645,0.0017500000000000003,0.00865
38,Denmark,223.94117647058823,14.089095238095236,0.02095238095238095,0.3098095238095238,3.8080476190476187
39,Djibouti,1.994534046117647,0.0,0.0,0.0001,0.0
40,Dominica,0.6084381157647059,0.0,0.02755,0.0,0.0
41,Dominican Republic,100.02390103341178,2.5675,1.4352,0.045200000000000004,0.0751
42,Ecuador,121.69630232094117,0.0,11.34685,0.0104,0.29235
43,Egypt,682.8823529411765,0.0,13.214250000000002,0.3831,0.3176
44,El Salvador,41.40946347670588,0.0,1.5894,0.027800000000000002,1.52455
45,Equatorial Guinea,22.24238718494118,0.0,0.1925,0.0,0.0
46,Estonia,25.557889385411766,0.0017619047619047618,0.02080952380952381,0.006142857142857143,0.5301904761904762
47,Ethiopia,93.72148016188235,0.0,6.1354999999999995,0.0063,0.04525
48,Finland,196.35294117647058,9.789904761904761,13.765333333333334,0.019523809523809523,10.643714285714285
49,France,2261.176470588235,18.627523809523808,60.02757142857143,3.8849047619047616,5.590857142857143
50,Gabon,20.277100664470588,0.0,0.8798999999999999,0.0008500000000000001,0.008799999999999999
51,Gambia,3.1162782418823527,0.0,0.0,0.00195,0.0
52,Georgia,34.50205774305883,0.0,7.4571,0.0,0.0
53,Germany,3305.8823529411766,264.66190476190474,20.428571428571427,19.192380952380955,31.642857142857142
54,Ghana,64.93118451952941,0.0,6.12955,0.00655,0.0154
55,Greece,281.5882352941176,27.931761904761906,4.585380952380953,1.6144285714285713,0.19319047619047622
56,Guatemala,79.12960728847058,0.7483000000000001,3.63915,0.04955,1.8649
57,Guinea,12.512575186823529,0.0,0.59485,0.00595,0.0
58,Guinea-Bissau,1.977820702117647,0.0,0.0,0.00035,0.0
59,Haiti,16.061772860235294,0.0,0.19205,0.00075,0.0
60,Honduras,31.445137287529413,0.0,2.4077,0.21645000000000003,0.4165
61,Hong Kong,317.0,0.0,0.0,0.00035,0.03205
62,Hungary,194.23529411764707,6.64247619047619,0.21704761904761904,0.21180952380952384,1.5738571428571428
63,Iceland,11.665865968941176,0.0,10.533199999999999,0.0,3.72605
64,India,4400.588235294118,639.1275238095238,115.30290476190476,9.263047619047619,11.036
65,Indonesia,1526.1176470588234,81.69235,13.5397,0.01305,10.41765
66,Iran,1067.2941176470588,0.47457142857142853,13.175809523809525,0.0380952380952381,0.012333333333333333
67,Iraq,262.5373185807059,0.0,2.9625,0.0194,0.0
68,Ireland,215.76470588235293,4.643761904761905,0.7411904761904762,0.00361904761904762,0.3762380952380952
69,Israel,211.23529411764707,22.305,0.0188,0.5165,0.0619
70,Italy,2013.5294117647059,37.582,44.010238095238094,10.471238095238094,16.35204761904762
71,Jamaica,18.43542558117647,0.0,0.13745000000000002,0.00765,0.0363
72,Japan,4439.411764705882,273.9373809523809,82.21614285714286,20.094952380952382,50.589952380952376
73,Jordan,52.84291776752941,0.0,0.04825,0.2136,0.0052
74,Kazakhstan,255.0107969957647,56.63328571428571,8.522857142857143,0.1051904761904762,0.0007619047619047619
75,Kenya,95.85070887152942,0.0,3.15535,0.02335,2.31675
76,Kuwait,198.7391726832941,0.0,0.0,0.015600000000000003,0.0
77,Kyrgyzstan,18.105715109647058,1.43395,12.556099999999999,0.0,0.0
78,Laos,23.024722883764706,2.2765999999999997,9.52725,0.0027,0.00745
79,Latvia,36.051380464941175,0.0005714285714285715,2.8442857142857143,0.00014285714285714287,0.33766666666666667
80,Lebanon,62.937099565176474,0.0,0.65865,0.01225,0.0
81,Lesotho,4.7753427425882355,0.0,0.48285,0.00030000000000000003,0.0
82,Liberia,2.6863169204705883,0.0,0.0,0.0005499999999999999,0.0
83,Libya,123.62846855529412,0.0,0.0,0.00375,0.0
84,Lithuania,56.83853528847059,0.0,0.4125238095238095,0.028047619047619047,0.22014285714285714
85,Luxembourg,29.428852495058823,0.0,0.1028095238095238,0.04933333333333333,0.09676190476190476
86,Madagascar,23.57062902964706,0.40145,0.72885,0.0068000000000000005,0.0098
87,Malawi,14.731410793411765,0.0,1.5015,0.0112,0.046549999999999994
88,Malaysia,461.0,37.74655,11.2688,0.13765,0.5589000000000001
89,Mali,17.465122876235295,0.0,0.8349500000000001,0.0128,0.0261
90,Malta,9.753211542588234,0.0,0.0,0.05119047619047619,0.0037142857142857142
91,Mauritania,8.49172612517647,0.0,0.1062,0.0242,0.0
92,Mauritius,19.834634300235294,0.48405,0.0979,0.011649999999999999,0.46835000000000004
93,Mexico,1504.1176470588234,26.737714285714283,29.786714285714282,1.0052380952380953,7.916190476190477
94,Moldova,14.007484988235294,4.4854,0.33075,0.0006500000000000001,0.0064
95,Mongolia,19.759639491764705,4.206047619047619,0.03785714285714286,0.009428571428571429,0.0
96,Montenegro,8.635170364235293,0.85965,1.2436,0.0,0.0
97,Morocco,190.2941176470588,12.51905,1.5390000000000001,0.1676,0.0036999999999999997
98,Mozambique,20.462794089411762,0.0,14.1451,0.0005499999999999999,0.04865
99,Namibia,16.817095137882355,0.02715,1.4207,0.0127,0.0
100,Nepal,48.91515036611764,0.0,3.18435,0.0184,0.0
101,Netherlands,733.7058823529412,25.284142857142857,0.09538095238095239,1.124809523809524,4.935238095238096
102,New Zealand,124.96177278494118,6.965714285714286,24.075142857142858,0.02719047619047619,5.766619047619048
103,Nicaragua,20.29574541552941,0.0,0.37,0.0047,0.79125
104,Niger,11.41856644517647,0.0746,0.0,0.00355,0.0
105,Nigeria,661.1764705882352,0.0,6.437095238095238,0.011047619047619047,0.017476190476190475
