,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
22,782,Argentina,453000000000.0,79.538,17.992,20.462,2.471,37682000.0,17144.248,646.03
23,783,Argentina,487000000000.0,81.235,15.791,18.765,2.974,38088000.0,18196.932,693.085
24,784,Argentina,532000000000.0,83.594,13.488,16.406,2.918,38492000.0,18965.749,730.03
25,785,Argentina,584000000000.0,83.634,13.991,16.366,2.375,38893000.0,20017.886,778.556
26,786,Argentina,631000000000.0,82.687,14.79,17.313,2.523,39290000.0,20819.765,818.009
27,787,Argentina,694000000000.0,85.497,12.247,14.503,2.256,39684000.0,21522.762,854.109
28,788,Argentina,741000000000.0,85.921,11.832,14.079,2.247,40080000.0,21673.035,868.655
29,789,Argentina,692000000000.0,84.377,13.103,15.623,2.52,40483000.0,21043.171,851.891
30,790,Argentina,772000000000.0,84.852,13.051,15.148,2.097,40896000.0,21919.694,896.428
31,791,Argentina,836000000000.0,85.348,12.836,14.652,1.815,41320000.0,22111.154,913.633
