,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
799,Argentina,,84.271,13.556,2.173,44781000.0
800,Argentina,,,,,
809,Armenia,9.858983936,,,,3070000.0
810,Armenia,10.404185088,,,,3051000.0
811,Armenia,11.2644864,,,,3034000.0
812,Armenia,12.845384704,,,,3018000.0
813,Armenia,13.68124928,,,,3001000.0
814,Armenia,15.26257152,,,,2981000.0
815,Armenia,17.46690048,,,,2958000.0
816,Armenia,19.88844544,,,,2933000.0
817,Armenia,21.660479488,,,,2908000.0
818,Armenia,20.310546432,,,,2888000.0
819,Armenia,22.459838464,,,,2877000.0
820,Armenia,24.861704192,,,,2877000.0
821,Armenia,25.898418176,,,,2884000.0
822,Armenia,26.40559104,,,,2898000.0
823,Armenia,27.113279488,,,,2912000.0
824,Armenia,27.930048512,,,,2926000.0
825,Armenia,27.987372032,,,,2936000.0
826,Armenia,,,,,2945000.0
827,Armenia,,,,,2952000.0
828,Armenia,,,,,2958000.0
843,Aruba,,,,,91000.0
844,Aruba,,,,,93000.0
845,Aruba,,,,,95000.0
846,Aruba,,,,,97000.0
847,Aruba,,,,,99000.0
848,Aruba,,,,,100000.0
849,Aruba,,,,,101000.0
850,Aruba,,,,,101000.0
851,Aruba,,,,,101000.0
852,Aruba,,,,,101000.0
853,Aruba,,,,,102000.0
854,Aruba,,,,,102000.0
855,Aruba,,,,,103000.0
856,Aruba,,,,,103000.0
857,Aruba,,,,,104000.0
858,Aruba,,,,,104000.0
859,Aruba,,,,,105000.0
860,Aruba,,,,,105000.0
861,Aruba,,,,,106000.0
862,Aruba,,,,,106000.0
1018,Australia,680.0,96.291,3.709,0.0,18991000.0
1019,Australia,694.0,96.406,3.594,0.0,19195000.0
1020,Australia,724.0,96.341,3.659,0.0,19401000.0
1021,Australia,742.0,96.275,3.725,0.0,19624000.0
1022,Australia,773.0,96.284,3.716,0.0,19880000.0
1023,Australia,826.0,96.029,3.971,0.0,20179000.0
1024,Australia,842.0,96.146,3.854,0.0,20526000.0
1025,Australia,877.0,96.19,3.81,0.0,20916000.0
1026,Australia,932.0,96.148,3.852,0.0,21332000.0
1027,Australia,927.0,95.689,4.311,0.0,21751000.0
1028,Australia,994.0,94.963,5.037,0.0,22155000.0
1029,Australia,1030.0,93.707,6.293,0.0,22538000.0
1030,Australia,1020.0,93.859,6.141,0.0,22904000.0
