country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,continente,iso_code,fossil_percentage,nuclear_percentage,renewables_percentage
Chad,14.127222222222223,1.8128888888888888,98.18711111111111,1.8128888888888888,0.0,15.08311111111111,15.354333333333333,África,TCD,0.7437673520376925,0.0,0.02843577788300985
Chile,18.032666666666668,43.7029,56.2971,43.7029,0.0,2255.4612,4013.3495000000003,Sudamérica,CHL,0.42645052411225126,0.0,0.6854948280945403
China,1406.1546666666666,27.152300000000004,72.8477,23.9109,3.2415,3110.0034,4308.0039,Asia,CHN,0.5518213166463645,0.448153955488827,0.3750505866907172
Colombia,47.75644444444444,73.7897,26.2103,73.7897,0.0,394.9527,1493.8169,Sudamérica,COL,0.19854301859490703,0.0,1.1574165036335735
Comoros,0.778,3.307,96.69300000000001,3.307,0.0,87.19066666666667,89.75455555555556,África,COM,0.7324494605936348,0.0,0.05187141806398763
Congo,4.870888888888889,47.108222222222224,52.891777777777776,47.108222222222224,0.0,276.16633333333334,493.28888888888895,África,COG,0.4006552087862795,0.0,0.7389084636045121
Cook Islands,0.018,11.258777777777778,88.74122222222223,11.258777777777778,0.0,1641.9753333333333,1876.6544444444444,Oceanía,COK,0.6722147451117098,0.0,0.17659775294848648
Costa Rica,4.844666666666666,95.7824,4.2176,95.7824,0.0,89.944,2195.9947,Norteamérica,CRI,0.03194831937161649,0.0,1.5023794718996337
Croatia,4.228111111111111,63.301,36.699,63.301,0.0,1059.4664,2935.9398,Europa,HRV,0.27799491953218747,0.0,0.9928976821495257
Cuba,11.306000000000001,4.011333333333334,95.98866666666667,4.011333333333334,0.0,1580.2584444444446,1646.3255555555556,Norteamérica,CUB,0.727114135698574,0.0,0.06291912559036662
Cyprus,1.1616666666666666,8.0901,91.90990000000001,8.0901,0.0,3855.8008,4198.1936000000005,Europa,CYP,0.6962174788062725,0.0,0.12689596591456495
Czechia,10.615777777777778,44.833600000000004,55.166399999999996,10.719100000000001,34.1146,4402.0799,7977.1053,Europa,CZE,0.41788547178071517,4.716517948455698,0.16813272372836102
Democratic Republic of Congo,76.466,99.79077777777778,0.20922222222222223,99.79077777777778,0.0,0.24422222222222223,117.54644444444446,África,COD,0.0015848583021611518,0.0,1.5652522385973988
Denmark,5.6835555555555555,60.8865,39.1135,60.8865,0.0,2193.4209,5493.0187,Europa,DNK,0.29628475667244925,0.0,0.9550254296803697
Djibouti,0.9137777777777778,0.8294444444444444,99.17055555555555,0.8294444444444444,0.0,203.06977777777777,203.6677777777778,África,DJI,0.7512169435578351,0.0,0.013010117792146883
Dominica,0.07122222222222221,32.31388888888889,67.6861111111111,32.31388888888889,0.0,891.2362222222223,1311.9563333333333,Norteamérica,DMA,0.5127222815820602,0.0,0.5068543210852132
Dominican Republic,10.279555555555556,12.155444444444445,87.84455555555556,12.155444444444445,0.0,1454.9745555555555,1657.3343333333332,Norteamérica,DOM,0.6654224952453046,0.0,0.19066227412499356
Ecuador,16.258111111111113,61.819111111111106,38.18088888888889,61.819111111111106,0.0,577.5028888888888,1545.6397777777777,Sudamérica,ECU,0.289220227644733,0.0,0.969653751674795
Egypt,92.43622222222223,9.922333333333334,90.07766666666666,9.922333333333334,0.0,1576.6162222222222,1749.7901111111112,África,EGY,0.6823383115792583,0.0,0.15563516797809898
El Salvador,6.328222222222222,64.00677777777778,35.99322222222222,64.00677777777778,0.0,320.15766666666667,878.0428888888889,Norteamérica,SLV,0.27264865297067514,0.0,1.003968046277552
Equatorial Guinea,1.1696666666666669,27.402666666666665,72.59733333333332,27.402666666666665,0.0,788.5406666666667,1104.2864444444444,África,GNQ,0.5499247891836667,0.0,0.42982013266851077
Eritrea,3.348777777777778,3.6149999999999998,96.385,3.6149999999999998,0.0,104.41333333333334,109.06377777777777,África,ERI,0.7301163606395239,0.0,0.0567025026614198
Estonia,1.3206666666666667,15.9803,84.0197,15.9803,0.0,7305.530500000001,8546.85,Europa,EST,0.6364492149818395,0.0,0.25065643244267966
Ethiopia,100.94311111111111,99.89044444444444,0.10955555555555556,99.89044444444444,0.0,0.0908888888888889,104.36488888888888,África,ETH,0.0008298833170105659,0.0,1.56681554411107
Fiji,0.8723333333333333,58.81944444444444,41.18055555555556,58.81944444444444,0.0,454.17322222222225,1098.4084444444443,Oceanía,FJI,0.31194270219781034,0.0,0.9226029613151715
Finland,5.472222222222222,76.27090000000001,23.7291,42.660000000000004,33.6109,3015.9975,12615.6487,Europa,FIN,0.17974792896458291,4.646878846996581,0.66913658742356
France,64.32877777777779,90.6893,9.3107,17.3772,73.312,813.8097,8749.0023,Europa,FRA,0.07052855111279156,10.135758995772601,0.27256728333278674
French Guiana,0.26266666666666666,60.39433333333333,39.60566666666667,60.39433333333333,0.0,1485.4677777777777,3751.233333333333,Sudamérica,GUF,0.300012919099121,0.0,0.9473056283728928
French Polynesia,0.2733333333333333,34.49444444444444,65.50555555555555,34.49444444444444,0.0,1442.7215555555556,2201.8251111111113,Oceanía,PYF,0.49620457357360953,0.0,0.5410570754952443
Gabon,1.9387777777777775,43.041777777777774,56.958222222222226,43.041777777777774,0.0,616.866,1083.8504444444445,África,GAB,0.4314585248470835,0.0,0.6751249015205211
Gambia,2.090888888888889,1.1335555555555556,98.86644444444444,1.1335555555555556,0.0,133.06900000000002,134.59066666666666,África,GMB,0.7489133019364782,0.0,0.017780203846682184
Georgia,4.030777777777778,79.99588888888889,20.00411111111111,79.99588888888889,0.0,529.1167777777778,2655.2137777777775,Asia,GEO,0.1515311386862386,0.0,1.2547626839902806
Germany,81.97033333333333,44.5755,55.4245,30.6145,13.9612,4218.0317,7584.9571,Europa,DEU,0.41984057924226065,1.9302073124697248,0.4801988292470364
Ghana,27.872555555555557,58.945,41.055,58.945,0.0,167.55511111111113,413.4881111111111,África,GHA,0.3109916188831836,0.0,0.9245723428429848
Gibraltar,0.034,0.0,100.0,0.0,0.0,5464.902,5464.902,Europa,GIB,0.7574999851009222,0.0,0.0
Greece,10.654555555555556,25.8654,74.1346,25.8654,0.0,3782.6511,5080.4956,Europa,GRC,0.5615695839546283,0.0,0.40570758294292886
Greenland,0.05633333333333333,80.626,19.374,80.626,0.0,1637.1254444444446,8479.479111111112,Norteamérica,GRL,0.14675804711345267,0.0,1.2646461907550854
Grenada,0.10944444444444444,1.6578888888888887,98.34211111111111,1.6578888888888887,0.0,1839.9113333333335,1870.96,Norteamérica,GRD,0.744941477014599,0.0,0.026004550244691713
Guadeloupe,0.4015555555555556,12.929555555555556,87.07044444444445,12.929555555555556,0.0,3559.6673333333333,4088.397222222222,Norteamérica,GLP,0.6595586036939733,0.0,0.20280446979249353
Guam,0.16255555555555556,1.9225555555555556,98.07744444444444,1.9225555555555556,0.0,10264.086000000001,10465.374333333333,Oceanía,GUM,0.7429366270540319,0.0,0.030155936792701607
Guatemala,16.257555555555555,64.89644444444444,35.10355555555556,64.89644444444444,0.0,246.37955555555558,699.087,Norteamérica,GTM,0.26590942810322726,0.0,1.0179227700768445
Guinea,11.504333333333333,52.902,47.098,52.902,0.0,66.3338888888889,128.62011111111113,África,GIN,0.35676734298283236,0.0,0.8297858356277816
Guinea-Bissau,1.738888888888889,2.052777777777778,97.94722222222222,2.052777777777778,0.0,20.218333333333334,20.659333333333333,África,GNB,0.7419501937401005,0.0,0.03219851657199112
Guyana,0.7671111111111111,2.016,97.984,2.016,0.0,1270.1381111111111,1296.1365555555556,Sudamérica,GUY,0.7422287854012876,0.0,0.03162164463773785
Haiti,10.689444444444444,14.955111111111112,85.04488888888889,14.955111111111112,0.0,76.73088888888888,90.09266666666667,Norteamérica,HTI,0.6442150206624292,0.0,0.23457599656420658
Honduras,9.113777777777777,53.59733333333334,46.40266666666667,53.59733333333334,0.0,428.4237777777778,927.2661111111112,Norteamérica,HND,0.3515001930864306,0.0,0.8406923750977421
Hong Kong,7.202444444444445,0.19344444444444445,99.80655555555556,0.19344444444444445,0.0,4976.7191111111115,4986.206,Asia,HKG,0.756034643463077,0.0,0.00303424180524149
Hungary,9.783666666666667,59.7081,40.2919,10.7023,49.0058,1344.3844000000001,3323.0674,Europa,HUN,0.3052111364968785,6.775302517937487,0.1678692100230465
Iceland,0.33077777777777784,99.98444444444445,0.015555555555555557,99.98444444444445,0.0,8.536555555555557,55140.612555555555,Europa,ISL,0.00011783333101569903,0.0,1.5682899660336629
India,1309.4352213333334,21.8353,78.1647,18.6021,3.2331000000000003,692.2988,886.0115,Asia,IND,0.5920975908541806,0.4469926125222666,0.29178025581134087
Indonesia,258.1542222222222,13.58488888888889,86.41511111111112,13.58488888888889,0.0,750.7838888888889,870.9197777777778,Asia,IDN,0.6545944537916121,0.0,0.21308359567837198
Iran,78.61855555555556,7.6178,92.3822,6.1158,1.502,3175.2345,3440.4311000000002,Asia,IRN,0.6997951512359041,0.20765918283023854,0.0959283999382327
Iraq,35.296,5.160777777777778,94.83922222222222,5.160777777777778,0.0,1769.8577777777778,1860.0155555555555,Asia,IRQ,0.7184070942031638,0.0,0.08094855205517029
Ireland,4.693666666666667,27.8065,72.1935,27.8065,0.0,4387.2807999999995,6097.5606,Europa,IRL,0.5468657517438343,0.0,0.43615439564447295
Israel,7.991444444444444,2.076,97.924,2.076,0.0,7477.00611111111,7636.84488888889,Asia,ISR,0.7417742854102272,0.0,0.032562765013860996
Italy,60.34855555555555,37.6403,62.3597,37.6403,0.0,2976.991,4763.7875,Europa,ITA,0.47237471820897975,0.0,0.590400888223137
Jamaica,2.889222222222222,9.148222222222223,90.85177777777777,9.148222222222223,0.0,1266.284111111111,1394.3538888888888,Norteamérica,JAM,0.6882022031305896,0.0,0.143492972310599
Japan,127.85766666666667,22.3902,77.60979999999999,18.781,3.6094,6127.3351,7886.5678,Asia,JPN,0.5878942234368555,0.4990180123218795,0.29458636306614805
Jordan,9.09611111111111,4.386333333333333,95.61366666666667,4.386333333333333,0.0,1839.2614444444444,1925.0077777777778,Asia,JOR,0.7242735107544455,0.0,0.0688011279411363
