year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
1960.0,14.430567901234568,0.41939166666666666,6.41965934065934,3.6828833333333337,11.765169642857144,2.9149916666666664,2.0779272727272726,11.399254545454546,1.1886666666666668,33.56961904761905,12.9,0.28907142857142853,0.3399818181818182,2.8020892857142856,64.62994642857143,,1.9375555555555555,1.0695090909090914,1.8893392857142857,-0.17210909090909085,10.557107142857143,45.63911111111111,325.59319642857145,1.2220661157024795,56.72609917355372,93.08847222222222,1.3784285714285713,1.7518333333333334,56.803416666666664,45.87475,27.86186111111111,6.795861111111112,9.17675,0.89075,0.0,29.395305555555556,0.06494444444444444,0.57775,1.2091964285714287,17943.0835,1.8002,88.26723214285714,8.65949090909091,538.0751607142857,15737.007125,1440.0289722222221,58.11627777777778,46.34330555555555,4.645072727272727,36.35407142857143,7.6642909090909095,249.66049999999998,1158.0231388888888,6816.788892857143,108.8045867768595,3050.625214876033,32.108111111111114,7.7066181818181825,9.090482142857143,1.3937636363636363,62.483285714285714,733.4969722222222,1701.9604107142857,41.72316666666667,36.19116666666667,951.6866111111111,8.881163636363636,11.732767857142857,2.739654545454546,81.467125,2206.076357142857,8.305027777777777,8.275326086956522,2.0438214285714285,0.4495454545454546,13.501375,181.593,374.64946428571426,9.835444444444445,0.5466363636363635,50.02383928571429,1.1673454545454545,277.8575,236.36686111111112,8594.625035714285,171.8736694214876,5581.215,22.092027777777776,0.8260000000000001,10.8524,0.2293035714285714,0.1032,1.916375,47.48841071428571,2394.525611111111,22220166.305785123,619.5423392857143,770.0937222222223,33.41811111111111,8.459454545454545,9.688892857142857,2.290127272727273,67.96578571428572,1831.4268214285714,0.04830555555555555,195.23363636363638,0.008232142857142856,0.06712727272727273,0.07942857142857143,1.4461944444444443,1.7794821428571428,289609773589.15704,0.43572222222222223,89.62841666666667,0.07182142857142858,0.38599999999999995,0.6845178571428571,13.058388888888889,7.205264462809917
1960.0,0.0,0.858,32.73280165289256,1.244206611570248,11.329520661157025,-0.07797520661157027,0.15060330578512404,-13.705231404958676,1.4341404958677686,36.47617355371901,2.094,1.905,0.22062809917355372,10.599504132231404,236.69661157024794,,0.8842975206611571,-53.697,0.66,-7.361,6.348,26.436363636363637,141.75,2.278,104.402,112.83859504132231,1.5838677685950413,1.1950413223140495,76.44718181818182,72.36701652892562,17.630561983471072,8.272727272727273,2.8859504132231404,1.5838677685950413,0.0,28.117859504132234,1.1157520661157025,7.787677685950413,1.3472314049586778,16058.76009090909,-2.932,84.271,-24.482,810.582,18101.027,1745.1411900826447,66.5537520661157,63.5347438016529,-2.492,49.373,-12.136,474.906,1654.8502809917356,10605.085,29.16203305785124,3198.307371900826,19.227214876033056,-11.328,9.542,-11.725,91.785,420.77162809917354,2049.652,33.4462479338843,36.391413223140496,837.7890165289257,1.877,15.729,2.788,151.299,3378.644,6.121487603305786,22.392,2.173,3.824,20.904,183.0495867768595,466.805,2.135537190082645,-1.491,34.238,-4.984,329.328,63.85454545454545,7354.191000000001,10.377396694214875,2398.8560661157026,36.47617355371901,1.4341404958677686,-4.165,0.617,-0.258,5.936,132.562,2582.930190082645,4908822.446280992,652.6629421487603,654.7394297520661,27.32476033057851,-0.788,13.556,-1.036,130.395,2911.84,0.875595041322314,636.844,0.206,1.711,1.9799999999999998,25.016917355371902,44.22,13719341017.917355,5.787793388429752,252.332,1.286,8.86,12.371,172.47386776859503,276.258
1960.0,5.54309917355372,0.3644214876033058,7.7091239669421485,2.0764628099173557,11.715776859504132,15.474404958677686,7.054950413223141,30.90623966942149,3.377578512396694,45.52012396694215,2.9802561983471074,2.2251157024793393,2.4530578512396692,32.38396694214876,170.05764462809915,,0.833793388429752,-27.32027272727273,3.3461322314049586,-2.7681239669421487,56.235983471074384,18.36974380165289,396.6563884297521,16.423561983471075,158.45528099173555,121.65644628099174,5.538702479338843,3.4412561983471073,17.317818181818183,10.31700826446281,92.90185123966943,2.5301735537190084,3.5595867768595046,6.127975206611571,0.0,101.80841322314049,0.331702479338843,2.4468925619834714,1.4007190082644627,9452.7836446281,0.35046280991735534,73.88752892561983,0.3209834710743807,927.5192809917355,12723.299694214875,424.9191074380165,47.094983471074386,45.33143801652893,4.9180909090909095,28.51199173553719,-3.6711404958677685,308.9505371900826,387.035958677686,5979.005776859503,36.52321487603306,199.21213223140498,46.273495867768595,-3.852652892561983,20.231256198347108,1.3721404958677688,329.07466115702476,678.3213884297521,2775.380338842975,52.905016528925614,104.33858677685951,769.4537851239669,3.7706280991735537,25.796636363636363,14.712545454545454,422.6905867768595,3810.0908842975205,0.5763801652892563,59.77753719008264,1.426785123966942,2.425504132231405,18.22,13.230528925619835,287.4591900826446,0.929702479338843,0.9481735537190082,42.02943801652893,6.760801652892562,562.3327933884298,19.513413223140496,6347.636991735537,295.834305785124,1680.6921487603306,46.62945454545454,3.2642561983471077,1.7273884297520663,0.9251157024793388,1.0446776859504132,19.147826446280995,154.89929752066118,1194.3729834710743,91951814.42975207,886.3896859504132,756.2232396694216,52.328595041322316,2.2987272727272727,24.36986776859504,12.287066115702478,404.47061983471076,3522.6321983471075,1.903297520661157,613.1808181818182,0.11998347107438016,1.0898429752066117,1.3830578512396694,15.88720661157025,25.272338842975206,648028123664.9257,0.8868760330578513,238.7760082644628,0.8683553719008265,6.122256198347108,12.638132231404958,15.385925619834712,177.23233057851238
1960.0,2.178917355371901,0.4555454545454546,43.804355371900826,-1.0569917355371903,14.877735537190084,1.5182148760330578,2.8070247933884294,43.96843801652892,8.461561983471075,249.1754049586777,10.568000000000001,4.223925619834711,14.124545454545453,145.5376859504132,689.5892975206611,,7.064462809917355,-1.2184462809917354,9.438247933884298,-5.620809917355372,113.74640495867769,230.63055371900825,1500.4174462809917,13.115049586776859,2093.2376115702477,439.03804132231403,45.877305785123966,20.54076859504132,73.71155371900826,44.743900826446286,280.46487603305786,9.237603305785123,8.426867768595041,39.23461983471074,0.005991735537190082,365.28314049586777,5.5560991735537195,40.02823966942148,1.298305785123967,15822.283561983471,1.5044297520661156,65.76052066115703,1.6832314049586778,1080.6574710743803,10346.696578512398,645.539214876033,20.35690082644628,9.6660826446281,2.8275206611570254,10.892429752066118,0.046702479338843014,206.86338842975206,293.67790082644626,1836.7957190082645,7.7324049586776855,883.1519421487603,59.97,2.8036446280991734,23.89707438016529,12.285454545454545,549.0995702479338,1649.5106363636364,3740.839867768595,77.41080991735538,374.5207438016529,2156.0310165289256,4.947553719008265,34.239479338842976,42.2852479338843,876.1433801652893,5475.586966942149,1.5250826446280992,2.752,0.6242148760330578,0.5847272727272728,21.502644628099173,43.458181818181814,101.88347107438017,3.6255371900826447,1.9211652892561981,45.429305785123965,7.257322314049587,760.0482644628099,121.2307520661157,7009.483404958677,10.64090082644628,1215.6060909090909,227.30561157024795,7.893867768595041,7.661793388429752,2.8858595041322315,2.4774049586776856,77.27051239669422,499.07293388429747,2825.0783140495864,9096780.669421488,1956.8008429752067,2112.572834710744,75.88572727272727,4.980280991735538,33.615801652892564,41.70052066115702,854.64073553719,5373.704033057851,1.1672561983471075,129.94325619834711,0.33348760330578514,2.973264462809918,7.933991735537189,36.94995867768595,63.68342148760331,87926896352.26447,6.854619834710744,21.862917355371902,2.275371900826446,9.839231404958678,74.79843801652892,198.8059173553719,380.51797520661154
1960.0,4.665586776859505,5.02999173553719,3.814305785123967,1.161801652892562,13.350404958677688,4.585900826446281,1.4247851239669422,3.1177520661157025,4.856685950413223,192.12733057851239,18.21093388429752,0.00840495867768595,0.003404958677685951,0.038793388429752065,0.8189421487603306,,19.630719008264464,-1.7476198347107443,15.784264462809917,-3.478305785123967,59.263892561983475,774.1258429752066,2727.138950413223,128.5739256198347,3215.5057107438015,70.91077685950413,3.7803966942148763,15.263884297520661,35.980892561983474,10.922438016528925,25.56709917355372,0.0,9.794561983471075,3.4592396694214873,0.20330578512396696,38.359016528925615,5.248710743801653,4.083264462809917,1.0992644628099173,16620.250157024795,0.9052561983471075,76.46088429752066,0.7687520661157022,286.8704049586776,12737.58894214876,1804.9599338842972,46.523016528925616,14.426190082644627,3.000694214876033,15.320413223140497,1.4255619834710744,59.11013223140496,522.0402231404959,2464.4524710743804,26.86623966942149,779.2028760330578,39.60673553719008,-3.8019008264462806,17.089520661157025,-2.647504132231405,61.35326446280992,1022.0924628099173,2349.119685950413,55.94973553719008,38.359016528925615,1684.19826446281,3.683380165289256,23.53911570247934,2.34901652892562,90.83544628099173,3882.6611735537194,0.0,2.752,0.0,0.0,0.0,0.0,0.0,12.46694214876033,2.034719008264463,45.35623140495868,2.8209338842975207,168.49638842975205,508.7930826446281,7545.996983471075,150.1513636363636,4868.30173553719,174.2573388429752,4.501388429752066,7.695561983471073,3.080157024793388,1.1224710743801651,13.987677685950413,717.9808016528926,3272.4564462809917,20915163.570247933,377.7058595041322,1684.19826446281,55.94973553719008,3.683380165289256,23.53911570247934,2.34901652892562,90.83544628099173,3882.6611735537194,6.658991735537191,25.007760330578513,1.823380165289256,1.5751487603305785,8.386735537190082,274.4430826446281,442.32216528925625,142445614225.98346,5.182636363636364,54.405231404958684,1.537132231404959,2.2960165289256196,7.06896694214876,213.40530578512394,372.4196115702479
1959.5,-2.235,-15.05,-54.63350833333333,0.028133333333333337,22.39920833333333,2.8575,4.958749999999999,12.631875,1.7415166666666666,25.109416666666668,2.818,0.040625,0.00605,0.21720833333333334,4.314375,,8.864166666666668,63.042,7.254541666666667,15.223449999999998,38.77520833333333,129.36333333333332,770.2830416666667,658.2899999999998,13077.145,56.71510000000001,1.166225,6.5825,20.679100000000002,12.851625,37.54671666666666,0.0,1.244975,0.9985999999999999,0.0,38.69211666666667,0.137025,0.009775,0.9748333333333332,8995.549741666668,7.552533333333334,79.75368333333333,19.294816666666666,250.22881666666666,7009.494608333333,463.5899583333333,32.763075,20.012316666666667,4.8308,15.121866666666667,1.352325,74.28958333333334,283.77298333333334,1559.9814833333332,0.11201666666666667,37.364466666666665,66.15974166666666,-0.560083333333333,19.57265,-6.734258333333334,76.27671666666667,873.0834583333333,1914.2854166666666,67.88886666666666,38.69211666666667,898.0452750000001,-0.300683333333333,20.240333333333336,-6.665208333333334,79.60275833333334,1985.3697583333335,0.0,2.752,0.0,0.0,0.0,0.0,0.0,3.8874166666666667,3.4359249999999997,57.37784166666667,2.718516666666667,137.16458333333333,50.454475,4679.229508333333,91.91572500000001,7982.393975,21.815041666666666,1.5157666666666667,23.566308333333332,0.5716166666666667,-0.098425,2.8443916666666667,60.75913333333333,1327.7315916666666,6384194.033333333,329.8429,898.0452750000001,67.88886666666666,-0.300683333333333,20.240333333333336,-6.665208333333334,79.60275833333334,1985.3697583333335,0.18841666666666665,831.7060166666668,0.034416666666666665,0.1546916666666667,0.17221666666666666,2.7595416666666663,3.693316666666667,36095622718.933334,0.024883333333333334,26.878983333333334,0.02155,0.007275,0.09167499999999999,0.386575,2.318075
1999.5,-2.235,-0.37625000000000003,-100.0,0.0,2.661,8.565,4.369200000000001,0.19594999999999999,1.005775,23.989075,2.818,0.0,0.0,0.0,0.0,,0.0,63.04200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.26745,0.2303,0.0,3.4780500000000005,1.775525,12.48585,0.0,1.702,0.2303,0.0,12.7894,0.030225000000000002,0.043,1.091,21227.363550000002,-3.4260000000000006,69.48,-5.096,143.647,8267.901,767.0107,26.248124999999998,16.247725,-10.631,3.057,-0.752,6.321,497.26435000000004,363.792,0.0,0.0,71.3972,18.838,29.541000000000004,9.681,61.074,1930.244525,3515.2589999999996,73.75187500000001,12.7894,2000.644175,19.097,30.387,10.074,62.824,3615.9810000000007,0.0,2.752,0.0,0.0,0.0,0.0,0.0,10.0008,-3.066,66.423,-4.344,137.326,269.746275,7904.1089999999995,330.458,19020.285,23.989075,1.005775,5.86,0.545,0.062,1.126,64.809,2767.654825,169650.0,3.5111,2000.644175,73.75187500000001,19.097,30.387,10.074,62.824,3615.9810000000007,1.212925,335.508,0.199,0.318,0.41200000000000003,43.936125,23.724,169000000000.0,0.1355,6.172,0.10200000000000001,0.012,0.21200000000000002,2.475,12.19
1999.5,-2.235,0.0,-100.0,0.0,2.661,8.565,1.7823249999999997,0.072225,2.3671499999999996,38.1506,2.818,0.0,0.0,0.0,0.0,,0.0,63.04200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021525,0.020825,0.0,0.698325,0.191,0.2765,0.0,0.506825,0.020825,0.0,0.3232,0.025825000000000004,0.0,1.091,8042.03315,-3.4260000000000006,69.48,-5.096,143.647,8267.901,1502.376125,71.58709999999999,16.46,-10.631,3.057,-0.752,6.321,657.0515,363.792,0.0,0.0,23.8035,18.838,29.541000000000004,9.681,61.074,950.1720000000001,3515.2589999999996,28.4129,0.3232,1075.4242250000002,19.097,30.387,10.074,62.824,3615.9810000000007,0.0,2.752,0.0,0.0,0.0,0.0,0.0,55.126599999999996,-3.066,66.423,-4.344,137.326,845.324625,7904.1089999999995,330.458,19020.285,38.1506,2.3671499999999996,5.86,0.545,0.062,1.126,64.809,2577.80095,758300.0,6.0997,1075.4242250000002,28.4129,19.097,30.387,10.074,62.824,3615.9810000000007,2.23755,335.508,0.199,0.318,0.41200000000000003,87.037075,23.724,169000000000.0,0.004725,6.172,0.10200000000000001,0.012,0.21200000000000002,0.064525,12.19
1999.5,-2.235,0.0,-100.0,0.0,2.661,0.21412499999999998,12.0882,7.6168499999999995,0.3657,15.988525,2.818,0.0,0.0,0.0,0.0,,0.0,63.04200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.754250000000003,0.091875,0.0,0.55085,0.0,27.107025,0.0,0.55085,0.091875,0.0,27.2034,0.0045,0.0,4.392625000000001,22947.510224999998,-3.4260000000000006,69.48,-5.096,143.647,8267.901,701.1250249999999,49.393074999999996,0.0,-10.631,3.057,-0.752,6.321,0.0,363.792,0.0,0.0,49.839675,18.838,29.541000000000004,9.681,61.074,4380.3007,3515.2589999999996,50.606925000000004,27.2034,4401.988175,19.097,30.387,10.074,62.824,3615.9810000000007,0.0,2.752,0.0,0.0,0.0,0.0,0.0,49.393074999999996,-3.066,66.423,-4.344,137.326,701.1250249999999,7904.1089999999995,0.0,0.0,15.988525,0.3657,5.86,0.545,0.062,1.126,64.809,5103.1138,5190400.0,128.3395,4401.988175,50.606925000000004,19.097,30.387,10.074,62.824,3615.9810000000007,0.3835,335.508,0.199,0.318,0.41200000000000003,5.444,23.724,29329069772.8,0.018,6.172,0.10200000000000001,0.012,0.21200000000000002,0.2555,12.19
1960.0,2.1263223140495864,0.06684297520661157,-37.97410743801653,1.187413223140496,5.1334793388429745,0.5449669421487604,11.169702479338843,19.86320661157025,1.7086528925619833,106.97333057851239,2.818,0.0,0.0,0.0,0.0,,0.19661983471074382,37.28297520661157,1.3757438016528927,0.022388429752066112,2.2582644628099175,2.5188677685950416,87.50565289256198,1.353206611570248,193.13454545454545,43.15880991735538,0.8208512396694215,0.0754793388429752,2.316479338842975,2.2393388429752066,39.59934710743802,0.0,0.0016528925619834713,0.7281074380165289,0.0,40.42245454545455,0.029074380165289255,0.06591735537190083,2.5425537190082643,19977.149231404957,-0.4416528925619836,72.38486776859504,-1.2633388429752066,127.92345454545455,6630.109057851239,77.23699173553719,5.934322314049587,5.7344214876033055,-2.1560165289256203,6.153355371900827,0.27014876033057855,12.704264462809917,74.49745454545454,535.7730330578512,14.514495867768595,557.5753553719009,89.5280082644628,12.389628099173553,26.631173553719005,5.881710743801652,49.237223140495864,5070.159396694215,2557.289876033058,91.31605785123968,40.42245454545455,5165.268214876033,12.649793388429751,27.38992561983471,6.18895041322314,50.81865289256198,2634.5826115702484,0.0,2.752,0.0,0.0,0.0,0.0,0.0,0.0033057851239669425,-0.581677685950413,64.85577685950413,-1.5558595041322316,112.9609256198347,0.22066115702479341,6006.830371900826,41.8287520661157,2769.040008264463,92.12747107438015,1.6031404958677684,6.6131983471074385,0.5216942148760331,0.07432231404958678,1.013776859504132,50.67805785123967,5260.649909090909,13808837.165289257,184.02736363636365,5165.268214876033,91.31605785123968,12.649793388429751,27.38992561983471,6.18895041322314,50.81865289256198,2634.5826115702484,0.057157024793388425,316.8579090909091,0.13039669421487604,0.18933057851239668,0.29320661157024797,0.914710743801653,15.013421487603306,70661769903.6033,0.1276611570247934,183.64688429752067,0.10665289256198346,0.04306611570247934,0.27443801652892563,2.066628099173554,11.601801652892561
