year,country,per_capita_electricity,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_capita,population
2010,Suriname,3178.374,1.681,0.0,0.0,0.483,0.0,1.198,0.0,0.483,0.0,0.0,1.198,0.0,0.0,26061.796,529000.0
2011,Suriname,3525.963,1.886,0.0,0.0,0.855,0.0,1.031,0.0,0.855,0.0,0.0,1.031,0.0,0.0,21738.596,535000.0
2012,Suriname,3503.216,1.895,0.0,0.0,1.071,0.0,0.824,0.0,1.071,0.0,0.0,0.825,0.001,0.0,24725.288,541000.0
2013,Suriname,3504.954,1.917,0.0,0.0,1.088,0.0,0.829,0.0,1.088,0.0,0.0,0.83,0.001,0.0,23449.58,547000.0
2014,Suriname,3486.854,1.928,0.0,0.0,1.366,0.0,0.553,0.0,1.366,0.0,0.0,0.562,0.009,0.0,24082.928,553000.0
2015,Suriname,3475.047,1.943,0.006,0.0,1.46,0.0,0.467,0.0,1.46,0.006,0.0,0.483,0.009,0.0,23339.43,559000.0
2016,Suriname,3377.488,1.908,0.006,0.0,1.118,0.0,0.775,0.0,1.118,0.006,0.0,0.791,0.009,0.0,20463.463,565000.0
2017,Suriname,3283.732,1.875,0.006,0.0,0.943,0.0,0.917,0.0,0.943,0.006,0.0,0.932,0.009,0.0,20463.463,571000.0
2018,Suriname,3279.707,1.889,0.006,0.0,0.883,0.0,0.99,0.0,0.883,0.006,0.0,1.006,0.01,0.0,20463.463,576000.0
2019,Suriname,3220.248,1.871,0.006,0.0,0.69,0.0,1.164,0.0,0.69,0.006,0.0,1.181,0.01,0.0,20463.463,581000.0
1998,Trinidad and Tobago,4095.88,5.169,0.02,0.0,5.113,4.093,0.0,0.0,1.02,0.018,0.0,0.018,0.0,0.0,81048.846,1262000.0
1999,Trinidad and Tobago,4151.108,5.247,0.02,0.0,5.113,4.093,0.0,0.0,1.02,0.018,0.0,0.018,0.0,0.0,89938.044,1264000.0
2000,Trinidad and Tobago,4051.302,5.133,0.02,0.0,5.113,4.093,0.0,0.0,1.02,0.02,0.0,0.02,0.0,0.0,93786.269,1267000.0
2001,Trinidad and Tobago,4172.17,5.307,0.029,0.0,5.278,4.226,0.0,0.0,1.052,0.029,0.0,0.029,0.0,0.0,100793.156,1272000.0
2002,Trinidad and Tobago,4155.834,5.307,0.026,0.0,5.281,4.228,0.0,0.0,1.053,0.026,0.0,0.026,0.0,0.0,108949.204,1277000.0
2003,Trinidad and Tobago,4713.396,6.052,0.012,0.0,6.04,4.836,0.0,0.0,1.204,0.012,0.0,0.012,0.0,0.0,121484.032,1284000.0
2004,Trinidad and Tobago,4686.822,6.046,0.023,0.0,6.023,4.822,0.0,0.0,1.201,0.023,0.0,0.023,0.0,0.0,132975.116,1290000.0
2005,Trinidad and Tobago,5121.914,6.638,0.022,0.0,6.614,5.295,0.0,0.0,1.319,0.022,0.0,0.024,0.002,0.0,141920.013,1296000.0
2006,Trinidad and Tobago,5176.516,6.745,0.026,0.0,6.716,5.377,0.0,0.0,1.339,0.026,0.0,0.029,0.003,0.0,164869.23,1303000.0
2007,Trinidad and Tobago,5519.878,7.22,0.019,0.0,7.198,5.763,0.0,0.0,1.435,0.019,0.0,0.022,0.003,0.0,169362.189,1308000.0
2008,Trinidad and Tobago,5533.486,7.271,0.02,0.0,7.248,5.803,0.0,0.0,1.445,0.02,0.0,0.023,0.003,0.0,166108.712,1314000.0
2009,Trinidad and Tobago,5585.163,7.378,0.019,0.0,7.355,5.888,0.0,0.0,1.467,0.019,0.0,0.023,0.004,0.0,163859.183,1321000.0
2010,Trinidad and Tobago,6008.961,7.98,0.0,0.0,7.976,6.968,0.0,0.0,1.008,0.0,0.0,0.004,0.004,0.0,176106.743,1328000.0
2011,Trinidad and Tobago,6172.096,8.246,0.0,0.0,8.242,7.2,0.0,0.0,1.041,0.0,0.0,0.004,0.004,0.0,171910.958,1336000.0
2012,Trinidad and Tobago,6382.394,8.584,0.0,0.0,8.58,7.496,0.0,0.0,1.084,0.0,0.0,0.004,0.004,0.0,168104.048,1345000.0
2013,Trinidad and Tobago,6598.922,8.935,0.0,0.0,8.931,7.802,0.0,0.0,1.129,0.0,0.0,0.004,0.004,0.0,170085.114,1354000.0
2014,Trinidad and Tobago,6829.325,9.302,0.0,0.0,9.298,8.123,0.0,0.0,1.175,0.0,0.0,0.004,0.004,0.0,168217.042,1362000.0
2015,Trinidad and Tobago,7067.372,9.682,0.0,0.0,9.677,8.454,0.0,0.0,1.223,0.0,0.0,0.005,0.005,0.0,162264.395,1370000.0
2016,Trinidad and Tobago,6829.202,9.411,0.0,0.0,9.406,8.217,0.0,0.0,1.189,0.0,0.0,0.005,0.005,0.0,143129.432,1378000.0
2017,Trinidad and Tobago,6745.939,9.336,0.0,0.0,9.331,8.152,0.0,0.0,1.179,0.0,0.0,0.005,0.005,0.0,151217.565,1384000.0
2018,Trinidad and Tobago,6238.705,8.672,0.0,0.0,8.667,7.572,0.0,0.0,1.095,0.0,0.0,0.005,0.005,0.0,142575.73,1390000.0
2019,Trinidad and Tobago,5974.886,8.335,0.0,0.0,8.33,7.277,0.0,0.0,1.053,0.0,0.0,0.005,0.005,0.0,142118.82,1395000.0
1998,Uruguay,2257.229,7.494,0.035,0.0,0.478,0.195,6.981,0.0,0.283,0.035,0.0,7.016,0.0,0.0,16044.719,3291000.0
1999,Uruguay,2257.229,7.494,0.035,0.0,0.478,0.195,6.981,0.0,0.283,0.035,0.0,7.016,0.0,0.0,13673.816,3308000.0
2000,Uruguay,2257.229,7.494,0.035,0.0,0.478,0.195,6.981,0.0,0.283,0.035,0.0,7.016,0.0,0.0,14091.134,3320000.0
2001,Uruguay,2755.489,9.162,0.037,0.0,0.021,0.009,9.104,0.0,0.012,0.037,0.0,9.141,0.0,0.0,15680.227,3325000.0
2002,Uruguay,2860.192,9.513,0.039,0.0,0.032,0.013,9.442,0.0,0.019,0.039,0.0,9.481,0.0,0.0,14232.983,3326000.0
2003,Uruguay,2566.185,8.53,0.038,0.0,0.046,0.019,8.446,0.0,0.027,0.038,0.0,8.484,0.0,0.0,14056.993,3324000.0
2004,Uruguay,1742.547,5.787,0.036,0.0,1.018,0.415,4.733,0.0,0.603,0.036,0.0,4.769,0.0,0.0,12813.973,3321000.0
2005,Uruguay,2276.34,7.562,0.039,0.0,0.905,0.369,6.618,0.0,0.536,0.039,0.0,6.657,0.0,0.0,14310.618,3322000.0
2006,Uruguay,1644.211,5.467,0.05,0.0,1.857,0.757,3.56,0.0,1.1,0.05,0.0,3.61,0.0,0.0,12471.264,3325000.0
2007,Uruguay,2782.653,9.272,0.137,0.0,1.147,0.468,7.988,0.0,0.679,0.137,0.0,8.125,0.0,0.0,15755.6,3332000.0
2008,Uruguay,2550.395,8.518,0.838,0.0,3.222,1.314,4.455,0.0,1.908,0.838,0.0,5.296,0.0,0.003,16393.62,3340000.0
2009,Uruguay,2581.397,8.648,0.793,0.0,2.606,1.063,5.207,0.0,1.543,0.793,0.0,6.042,0.0,0.042,17122.352,3350000.0
2010,Uruguay,3282.626,11.026,1.1,0.0,1.279,0.522,8.579,0.0,0.758,1.1,0.0,9.747,0.0,0.068,18190.409,3359000.0
2011,Uruguay,3079.098,10.373,1.131,0.0,2.718,1.109,6.414,0.0,1.61,1.131,0.0,7.655,0.0,0.11,17546.468,3369000.0
2012,Uruguay,3139.615,10.609,1.32,0.0,3.811,1.554,5.367,0.0,2.256,1.32,0.0,6.798,0.0,0.111,17599.825,3379000.0
2013,Uruguay,3384.703,11.471,1.46,0.0,1.743,0.711,8.124,0.0,1.032,1.46,0.0,9.728,0.0,0.144,18571.838,3389000.0
2014,Uruguay,3781.718,12.858,1.923,0.0,0.645,0.263,9.553,0.0,0.382,1.923,0.0,12.213,0.004,0.733,19340.047,3400000.0
2015,Uruguay,3982.298,13.588,2.407,0.0,0.884,0.36,8.183,0.0,0.523,2.407,0.0,12.704,0.049,2.065,19710.242,3412000.0
2016,Uruguay,4024.071,13.778,2.453,0.0,0.416,0.17,7.764,0.0,0.247,2.453,0.0,13.362,0.151,2.994,20204.327,3424000.0
2017,Uruguay,4151.114,14.267,2.568,0.0,0.213,0.087,7.443,0.0,0.126,2.568,0.0,14.054,0.269,3.774,20204.327,3437000.0
2018,Uruguay,4214.311,14.535,2.554,0.0,0.342,0.14,6.491,0.0,0.203,2.554,0.0,14.193,0.416,4.732,20204.327,3449000.0
2019,Uruguay,4618.596,15.99,2.515,0.0,0.272,0.111,8.027,0.0,0.161,2.515,0.0,15.718,0.423,4.753,20204.327,3462000.0
2020,Uruguay,3880.991,13.482,2.721,0.0,0.801,0.111,4.067,0.0,0.69,2.721,0.0,12.681,0.458,5.435,20204.327,3462000.0
1998,Venezuela,3473.915,80.904,0.0,0.0,21.042,21.042,57.923,0.0,0.0,0.0,0.0,57.923,0.0,0.0,33679.005,23289000.0
1999,Venezuela,3394.482,80.585,0.0,0.0,21.042,21.042,60.6,0.0,0.0,0.0,0.0,60.6,0.0,0.0,31866.026,23740000.0
2000,Venezuela,3440.807,83.24,0.0,0.0,21.042,21.042,62.198,0.0,0.0,0.0,0.0,62.198,0.0,0.0,31891.243,24192000.0
2001,Venezuela,3559.726,87.733,0.0,0.0,27.888,27.888,59.845,0.0,0.0,0.0,0.0,59.845,0.0,0.0,33180.852,24646000.0
2002,Venezuela,3452.032,86.646,0.0,0.0,27.706,27.706,58.94,0.0,0.0,0.0,0.0,58.94,0.0,0.0,32509.579,25100000.0
2003,Venezuela,3493.543,89.267,0.0,0.0,29.34,29.34,59.927,0.0,0.0,0.0,0.0,59.927,0.0,0.0,28674.974,25552000.0
2004,Venezuela,3701.042,96.216,0.0,0.0,26.842,26.842,69.374,0.0,0.0,0.0,0.0,69.374,0.0,0.0,31410.03,25997000.0
2005,Venezuela,3835.692,101.385,0.0,0.0,24.928,24.928,76.457,0.0,0.0,0.0,0.0,76.457,0.0,0.0,32235.781,26432000.0
2006,Venezuela,4018.771,107.904,0.0,0.0,27.12,27.12,80.784,0.0,0.0,0.0,0.0,80.784,0.0,0.0,35278.352,26850000.0
2007,Venezuela,4104.586,111.842,0.0,0.0,29.614,29.614,82.228,0.0,0.0,0.0,0.0,82.228,0.0,0.0,34972.919,27248000.0
2008,Venezuela,4214.852,116.482,0.0,0.0,30.509,30.509,85.973,0.0,0.0,0.0,0.0,85.973,0.0,0.0,35638.321,27636000.0
2009,Venezuela,4163.355,116.703,0.0,0.0,31.601,31.601,85.102,0.0,0.0,0.0,0.0,85.102,0.0,0.0,34984.443,28031000.0
2010,Venezuela,3895.214,110.78,0.0,0.0,34.766,34.766,76.012,0.0,0.0,0.0,0.0,76.014,0.002,0.0,32512.027,28440000.0
2011,Venezuela,3983.264,115.069,0.0,0.0,32.234,32.234,82.833,0.0,0.0,0.0,0.0,82.835,0.002,0.0,33467.535,28888000.0
2012,Venezuela,4035.568,118.488,0.0,0.0,37.266,37.266,81.188,0.0,0.0,0.0,0.0,81.222,0.004,0.03,34278.464,29361000.0
2013,Venezuela,4030.19,120.023,0.0,0.0,37.238,37.238,82.71,0.0,0.0,0.0,0.0,82.785,0.004,0.071,32957.863,29781000.0
2014,Venezuela,3339.649,100.333,0.0,0.0,36.612,36.612,63.645,0.0,0.0,0.0,0.0,63.721,0.005,0.071,31572.89,30043000.0
2015,Venezuela,3961.86,119.181,0.0,0.0,44.953,44.953,74.15,0.0,0.0,0.0,0.0,74.228,0.007,0.071,30422.2,30082000.0
2016,Venezuela,3505.891,104.654,0.0,0.0,42.247,42.247,62.329,0.0,0.0,0.0,0.0,62.407,0.007,0.071,27817.912,29851000.0
2017,Venezuela,3420.902,100.581,0.0,0.0,40.601,40.601,59.902,0.0,0.0,0.0,0.0,59.98,0.007,0.071,26974.738,29402000.0
2018,Venezuela,3346.311,96.665,0.0,0.0,39.019,39.019,57.568,0.0,0.0,0.0,0.0,57.646,0.006,0.071,23598.421,28887000.0
2019,Venezuela,3126.665,89.16,0.0,0.0,37.042,37.042,52.041,0.0,0.0,0.0,0.0,52.118,0.006,0.071,21691.926,28516000.0
