,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,energy_per_capita
815,Armenia,17.46690048,,,,12118.905
816,Armenia,19.88844544,,,,13634.72
817,Armenia,21.660479488,,,,13270.492
818,Armenia,20.310546432,,,,11927.306
819,Armenia,22.459838464,,,,13635.718
820,Armenia,24.861704192,,,,14481.266
821,Armenia,25.898418176,,,,15533.461
822,Armenia,26.40559104,,,,15008.882
823,Armenia,27.113279488,,,,15191.636
824,Armenia,27.930048512,,,,13841.587
825,Armenia,27.987372032,,,,14331.248
826,Armenia,,,,,
827,Armenia,,,,,
828,Armenia,,,,,
843,Aruba,,,,,48585.482
844,Aruba,,,,,49190.923
845,Aruba,,,,,49778.552
846,Aruba,,,,,54290.27
847,Aruba,,,,,55472.046
848,Aruba,,,,,59305.478
849,Aruba,,,,,58606.428
850,Aruba,,,,,60392.508
851,Aruba,,,,,56732.274
852,Aruba,,,,,56558.53
853,Aruba,,,,,52569.717
854,Aruba,,,,,53106.267
855,Aruba,,,,,52008.844
856,Aruba,,,,,50342.756
857,Aruba,,,,,50612.996
858,Aruba,,,,,52174.2
859,Aruba,,,,,51604.092
860,Aruba,,,,,
861,Aruba,,,,,
862,Aruba,,,,,
1018,Australia,680.0,96.291,3.709,0.0,69164.691
1019,Australia,694.0,96.406,3.594,0.0,69059.245
1020,Australia,724.0,96.341,3.659,0.0,69340.366
1021,Australia,742.0,96.275,3.725,0.0,69585.462
1022,Australia,773.0,96.284,3.716,0.0,70969.86
1023,Australia,826.0,96.029,3.971,0.0,69648.968
1024,Australia,842.0,96.146,3.854,0.0,72609.558
1025,Australia,877.0,96.19,3.81,0.0,72163.779
1026,Australia,932.0,96.148,3.852,0.0,71923.196
1027,Australia,927.0,95.689,4.311,0.0,69941.698
1028,Australia,994.0,94.963,5.037,0.0,68928.146
1029,Australia,1030.0,93.707,6.293,0.0,70203.291
1030,Australia,1020.0,93.859,6.141,0.0,68240.28
1031,Australia,1010.0,93.14,6.86,0.0,67715.146
1032,Australia,1020.0,93.756,6.244,0.0,67697.824
1033,Australia,1050.0,93.496,6.504,0.0,67749.728
1034,Australia,1070.0,92.793,7.207,0.0,67349.654
1035,Australia,,93.115,6.885,0.0,66333.931
1036,Australia,,91.647,8.353,0.0,66894.015
1037,Australia,,91.433,8.567,0.0,70644.033
1038,Australia,,,,,
1139,Austria,288.0,68.504,31.496,0.0,47551.699
1140,Austria,283.0,70.611,29.389,0.0,49146.762
1141,Austria,292.0,71.097,28.903,0.0,49037.043
1142,Austria,293.0,76.133,23.867,0.0,49419.906
1143,Austria,303.0,73.738,26.262,0.0,49997.5
1144,Austria,312.0,73.453,26.547,0.0,50621.48
1145,Austria,325.0,72.863,27.137,0.0,49861.92
1146,Austria,337.0,70.595,29.405,0.0,48534.016
1147,Austria,342.0,70.169,29.831,0.0,49334.423
1148,Austria,336.0,67.33,32.67,0.0,47491.043
1149,Austria,341.0,70.016,29.984,0.0,48883.574
1150,Austria,350.0,70.927,29.073,0.0,45537.713
1151,Austria,365.0,65.858,34.142,0.0,47495.221
1152,Austria,368.0,66.523,33.477,0.0,46888.618
1153,Austria,386.0,65.229,34.771,0.0,44630.048
1154,Austria,389.0,66.893,33.107,0.0,44369.911
1155,Austria,395.0,66.232,33.768,0.0,45481.414
1156,Austria,,67.29,32.71,0.0,46183.623
1157,Austria,,67.434,32.566,0.0,44905.628
1158,Austria,,66.298,33.702,0.0,46523.958
1159,Austria,,,,,
1180,Azerbaijan,20.935151616,96.754,3.246,0.0,16160.413
1181,Azerbaijan,22.69737984,97.163,2.837,0.0,15438.579
1182,Azerbaijan,23.994841088,95.567,4.433,0.0,15096.085
1183,Azerbaijan,25.655795712,95.021,4.979,0.0,16165.886
1184,Azerbaijan,27.73225472,95.134,4.866,0.0,18140.566
1185,Azerbaijan,40.73084928,95.128,4.872,0.0,19459.323
1186,Azerbaijan,58.473254912,95.883,4.117,0.0,18945.153
1187,Azerbaijan,80.977575936,95.754,4.246,0.0,16953.207
1188,Azerbaijan,89.38999808,96.055,3.945,0.0,16927.736
1189,Azerbaijan,95.528968192,95.406,4.594,0.0,14784.414
1190,Azerbaijan,115.0,93.094,6.906,0.0,14408.422
1191,Azerbaijan,146.0,95.21,4.79,0.0,15829.275
1192,Azerbaijan,150.0,96.855,3.145,0.0,16099.108
1193,Azerbaijan,146.0,97.399,2.601,0.0,16340.765
1194,Azerbaijan,149.0,97.735,2.265,0.0,16453.03
1195,Azerbaijan,151.0,97.429,2.571,0.0,17769.834
1196,Azerbaijan,145.0,96.875,3.125,0.0,17394.072
1197,Azerbaijan,,97.155,2.845,0.0,16874.53
1198,Azerbaijan,,97.135,2.865,0.0,17180.551
1199,Azerbaijan,,97.52,2.48,0.0,18127.566
1200,Azerbaijan,,,,,
1221,Bahamas,,,,,55293.539
1222,Bahamas,,,,,55423.302
1223,Bahamas,,,,,56548.915
1224,Bahamas,,,,,38868.326
1225,Bahamas,,,,,42270.967
1226,Bahamas,,,,,39894.353
1227,Bahamas,,,,,45497.01
1228,Bahamas,,,,,51462.367
1229,Bahamas,,,,,49265.289
1230,Bahamas,,,,,36402.04
1231,Bahamas,,,,,37393.331
1232,Bahamas,,,,,32556.602
1233,Bahamas,,,,,37214.374
1234,Bahamas,,,,,34339.071
