,country,gdp,low_carbon_share_energy,population,energy_per_capita
795,Argentina,840.0,14.701,43075000.0,23123.79
796,Argentina,820.0,14.066,43508000.0,22832.315
797,Argentina,,14.674,43937000.0,22550.74
798,Argentina,,15.099,44361000.0,22172.06
799,Argentina,,15.729,44781000.0,21479.671
800,Argentina,,,,
809,Armenia,9.858983936,,3070000.0,9405.922
810,Armenia,10.404185088,,3051000.0,9272.737
811,Armenia,11.2644864,,3034000.0,8927.605
812,Armenia,12.845384704,,3018000.0,9909.138
813,Armenia,13.68124928,,3001000.0,10418.785
814,Armenia,15.26257152,,2981000.0,12157.992
815,Armenia,17.46690048,,2958000.0,12118.905
816,Armenia,19.88844544,,2933000.0,13634.72
817,Armenia,21.660479488,,2908000.0,13270.492
818,Armenia,20.310546432,,2888000.0,11927.306
819,Armenia,22.459838464,,2877000.0,13635.718
820,Armenia,24.861704192,,2877000.0,14481.266
821,Armenia,25.898418176,,2884000.0,15533.461
822,Armenia,26.40559104,,2898000.0,15008.882
823,Armenia,27.113279488,,2912000.0,15191.636
824,Armenia,27.930048512,,2926000.0,13841.587
825,Armenia,27.987372032,,2936000.0,14331.248
826,Armenia,,,2945000.0,
827,Armenia,,,2952000.0,
828,Armenia,,,2958000.0,
843,Aruba,,,91000.0,48585.482
844,Aruba,,,93000.0,49190.923
845,Aruba,,,95000.0,49778.552
846,Aruba,,,97000.0,54290.27
847,Aruba,,,99000.0,55472.046
848,Aruba,,,100000.0,59305.478
849,Aruba,,,101000.0,58606.428
850,Aruba,,,101000.0,60392.508
851,Aruba,,,101000.0,56732.274
852,Aruba,,,101000.0,56558.53
853,Aruba,,,102000.0,52569.717
854,Aruba,,,102000.0,53106.267
855,Aruba,,,103000.0,52008.844
856,Aruba,,,103000.0,50342.756
857,Aruba,,,104000.0,50612.996
858,Aruba,,,104000.0,52174.2
859,Aruba,,,105000.0,51604.092
860,Aruba,,,105000.0,
861,Aruba,,,106000.0,
862,Aruba,,,106000.0,
1018,Australia,680.0,3.709,18991000.0,69164.691
1019,Australia,694.0,3.594,19195000.0,69059.245
1020,Australia,724.0,3.659,19401000.0,69340.366
1021,Australia,742.0,3.725,19624000.0,69585.462
1022,Australia,773.0,3.716,19880000.0,70969.86
1023,Australia,826.0,3.971,20179000.0,69648.968
1024,Australia,842.0,3.854,20526000.0,72609.558
1025,Australia,877.0,3.81,20916000.0,72163.779
1026,Australia,932.0,3.852,21332000.0,71923.196
1027,Australia,927.0,4.311,21751000.0,69941.698
1028,Australia,994.0,5.037,22155000.0,68928.146
1029,Australia,1030.0,6.293,22538000.0,70203.291
1030,Australia,1020.0,6.141,22904000.0,68240.28
1031,Australia,1010.0,6.86,23255000.0,67715.146
1032,Australia,1020.0,6.244,23596000.0,67697.824
1033,Australia,1050.0,6.504,23932000.0,67749.728
1034,Australia,1070.0,7.207,24263000.0,67349.654
1035,Australia,,6.885,24585000.0,66333.931
1036,Australia,,8.353,24898000.0,66894.015
1037,Australia,,8.567,25203000.0,70644.033
1038,Australia,,,,
1139,Austria,288.0,31.496,8069000.0,47551.699
1140,Austria,283.0,29.389,8098000.0,49146.762
1141,Austria,292.0,28.903,8134000.0,49037.043
1142,Austria,293.0,23.867,8176000.0,49419.906
1143,Austria,303.0,26.262,8217000.0,49997.5
1144,Austria,312.0,26.547,8254000.0,50621.48
1145,Austria,325.0,27.137,8285000.0,49861.92
1146,Austria,337.0,29.405,8314000.0,48534.016
1147,Austria,342.0,29.831,8342000.0,49334.423
1148,Austria,336.0,32.67,8373000.0,47491.043
1149,Austria,341.0,29.984,8410000.0,48883.574
1150,Austria,350.0,29.073,8454000.0,45537.713
1151,Austria,365.0,34.142,8502000.0,47495.221
1152,Austria,368.0,33.477,8556000.0,46888.618
1153,Austria,386.0,34.771,8615000.0,44630.048
1154,Austria,389.0,33.107,8679000.0,44369.911
1155,Austria,395.0,33.768,8747000.0,45481.414
1156,Austria,,32.71,8820000.0,46183.623
1157,Austria,,32.566,8891000.0,44905.628
1158,Austria,,33.702,8955000.0,46523.958
1159,Austria,,,,
1180,Azerbaijan,20.935151616,3.246,8123000.0,16160.413
1181,Azerbaijan,22.69737984,2.837,8197000.0,15438.579
1182,Azerbaijan,23.994841088,4.433,8277000.0,15096.085
1183,Azerbaijan,25.655795712,4.979,8361000.0,16165.886
1184,Azerbaijan,27.73225472,4.866,8449000.0,18140.566
1185,Azerbaijan,40.73084928,4.872,8539000.0,19459.323
1186,Azerbaijan,58.473254912,4.117,8630000.0,18945.153
1187,Azerbaijan,80.977575936,4.246,8724000.0,16953.207
1188,Azerbaijan,89.38999808,3.945,8822000.0,16927.736
1189,Azerbaijan,95.528968192,4.594,8924000.0,14784.414
1190,Azerbaijan,115.0,6.906,9032000.0,14408.422
1191,Azerbaijan,146.0,4.79,9146000.0,15829.275
1192,Azerbaijan,150.0,3.145,9265000.0,16099.108
1193,Azerbaijan,146.0,2.601,9385000.0,16340.765
1194,Azerbaijan,149.0,2.265,9506000.0,16453.03
1195,Azerbaijan,151.0,2.571,9623000.0,17769.834
